,description
1825,"|Roaster Location:
|Minneapolis, Minnesota
|Coffee Origin:
|Ka'u growing region, Big Island of Hawai’i
|Roast Level:
|Medium-Light
|Agtron:
|60/78
|Est. Price:
|$25.00/4 ounces
|Review Date:
|December 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Elegantly fruit-toned, crisp and bright. Strawberry guava, cocoa nib, lilac, pistachio, lemon thyme in aroma and cup. Richly sweet-tart structure with juicy acidity; viscous, satiny mouthfeel. Berry-toned finish supported by cocoa nib.
Notes
Produced by smallholding farmers and processed by the washed method with the addition of cultured yeasts during the fermentation step. Paradise prides itself on quality and freshness, craft-roasting coffees in small batches only after orders are placed. Visit www.paradiseroasters.com or call 763-433-0626 for more information.
Bottom Line
A washed-process Ka'u coffee with the addition of wine yeasts to the ferment step. Delicate, confident, fruity and complex.
Explore Similar Coffees
Click here for more reviews from Paradise Roasters
Click here for more information about coffees from Hawaii"
1826,"|Roaster Location:
|Lexington, Virginia
|Coffee Origin:
|Wamena growing region, West Papua, New Guinea
|Roast Level:
|Medium-Light
|Agtron:
|58/74
|Est. Price:
|$17.00/12 ounces
|Review Date:
|June 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Crisply sweet, balanced, rich. Caramel, baking chocolate, orange bitters, hazelnut butter, pie cherry in aroma and cup. Bright, juicy acidity; crisp, satiny mouthfeel. The finish consolidates to notes of creamy hazelnut and orange
Notes
The first coffee from West Papua ever to be exported to North America or Europe. Processed by the conventional fully washed method, which is anomalous in this growing region, actually a province of Indonesia, where Indonesian-style washing and wet-hulling is more typical. In partnership with Cafe Imports, Roadmap is donating $7 from the sale of each bag to Grounds for Health, a non-profit that provides women’s healthcare in coffee-producing communities. Founded in 1990, Roadmap CoffeeWorks, formerly Lexington Coffee Roasters, is an award-winning artisan roasting company based in Lexington, Virginia. Roadmap CoffeeWorks focuses on producing fresh, distinctive and sustainable coffees. Visit www.roadmapcoffeeworks.com or call 800-322-6505 for more information.
Bottom Line
This conventionally washed-process coffee from West Papua, New Guinea, an Indonesian province better known for its rustic wet-hulled coffees, is sweet, complex, chocolaty and nutty.
Explore Similar Coffees
Click here for more reviews from Roadmap CoffeeWorks
Click here for more information about coffees from Papua New Guinea"
1827,"|Roaster Location:
|Taipei, Taiwan
|Coffee Origin:
|Costa Rica; Honduras; Indonesia
|Roast Level:
|Medium-Light
|Agtron:
|54/72
|Est. Price:
|NT $249/8 ounces
|Review Date:
|November 2022
|Aroma:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Deeply sweet, richly earth-toned and chocolaty. Blueberry coulis, dark chocolate, pipe tobacco, cedar, magnolia in aroma and small cup. Crisply viscous mouthfeel; fruit-driven finish with dark chocolate undertones. In three parts milk, fruit and chocolate notes mingle with earthy-sweet pipe tobacco and cedar.
Notes
An espresso blend comprised of green coffees processed by three different methods in three different origins: a wet-hulled Sumatra, an anaerobic natural Costa Rica and washed Honduras. Buon Caffe is a specialty coffee roaster and cafe in Taipei, Taiwan. Visit www.buoncaffe.com.tw for more information.
Bottom Line
A complex espresso blend with berry top notes, richly sweet tobacco, and dark chocolate through and through, especially in cappuccino format. / all particularly
Explore Similar Coffees
Click here for more reviews from Buon Caffe"
1828,"|Roaster Location:
|Chia-Yi, Taiwan
|Coffee Origin:
|Copey District, Costa Rica
|Roast Level:
|Medium-Light
|Agtron:
|54/78
|Est. Price:
|NT $300/8 ounces
|Review Date:
|August 2021
|Aroma:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|9
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Delicately fruit-toned, floral and lively. Lilac, dried Bing cherry, sandalwood, macadamia nut, wild honey in aroma and small cup. Full, syrupy mouthfeel; delicate, long finish. Lilac and Bing cherry notes deepen in three parts milk, balanced by creamy macadamia nut and wild honey; hints of sandalwood hover in the background.
Notes
Processed by the red honey method, meaning that some fruit flesh or “honey” was allowed to adhere to the beans during drying. Kakalove Café is a nano-roaster located in the small city of Chia-Yi in Taiwan that strives to procure and roast the finest quality coffee. Visit www.kakalovecafe.com.tw or email [email protected] for more information.
Bottom Line
A complex, deeply nuanced red honey espresso from Costa Rica with bright fruit and floral notes juxtaposed with subtle, integrated sandalwood impulses.
Explore Similar Coffees
Click here for more reviews from Kakalove Cafe
Click here for more information about coffees from Costa Rica"
1829,"|Roaster Location:
|San Diego, California
|Coffee Origin:
|Chelchele, Gedeb District, Gedeo Zone, Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|60/77
|Est. Price:
|$24.00/12 ounces
|Review Date:
|November 2022
|Aroma:
|9
|Acidity/Structure:
|9
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Elegantly sweet, floral-toned. Lilac, almond, pink peppercorn, apricot, nougat in aroma and cup. Balanced, sweetly tart structure with juicy acidity; syrupy, viscous mouthfeel. The finish consolidates to notes of sweet almond and pink peppercorn.
Notes
Produced by the METAD farm and mill in southern Ethiopia. Southern Ethiopia produces distinctive coffees from selections of traditional landrace varieties of Arabica long grown in the region. Coffees like this one processed by the wet or washed method (fruit skin and pulp is removed before drying) typically express great aromatic complexity and intensity with a particular emphasis on citrus and floral notes. Jaunt Coffee Roasters is a San Diego-based roaster and café with an extensive coffee and food menu. Visit www.jauntcoffee.com for more information.
Bottom Line
A brightly sweet, fragrantly floral-driven washed Ethiopia cup complicated by notes of almond and pink peppercorn.
Explore Similar Coffees
Click here for more reviews from Jaunt Coffee Roasters
Click here for more information about coffees from Ethiopia"
1830,"1980 CAFE
Karamo Ethiopia Sidama Natural G1
|Roaster Location:
|Tainan City, Taiwan
|Coffee Origin:
|Sidama growing region, southern Ethiopia
|Roast Level:
|Medium-Light
|Agtron:
|62/79
|Est. Price:
|NT $450/227 grams
|Review Date:
|July 2022
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Deeply fruit-toned, richly chocolaty. Dried apricot, dark chocolate, narcissus, cedar, almond in aroma and cup in aroma and cup. Sweetly tart structure with brisk acidity; full, syrupy mouthfeel. The crisp finish consolidates to notes of dried apricot, dark chocolate and cedar.
Notes
Produced by smallholding farmers entirely of the Karamo Variety 74158, and processed by the natural method (dried in the whole fruit). 1980 Cafe is a Tainan City, Taiwan-based specialty coffee roaster. Visit https://www.1980cafetw.com for more information.
Bottom Line
An invitingly sweet, crisply tart, chocolaty natural-processed Ethiopia cup.
Explore Similar Coffees
Click here for more reviews from 1980 CAFE
Click here for more information about coffees from Ethiopia"
1831,"|Roaster Location:
|San Diego, California
|Coffee Origin:
|Sitio Pluto, Balutakay, Managa, Davao del Sur, Philippines
|Roast Level:
|Medium
|Agtron:
|53/65
|Est. Price:
|$34.99/12 ounces
|Review Date:
|July 2023
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Sweetly nut-toned, richly bittersweet. Almond toffee, sarsparilla, lemon verbena, cane sugar, cedar in aroma and cup. Brisk acidity; crisp, satiny mouthfeel. Finish consolidates to notes of cedar and lemon verbena.
Notes
Produced by Rosemarie Rupecio of the BACOFA Cooperative, entirely of the Catimor variety of Arabica, and processed by the honey method (some fruit flesh left on the beans during drying). Mostra Coffee is a women-, minority-, veteran-, and immigrant-owned micro-roaster based in north county San Diego. For more information, visit www.mostracoffee.com.
Bottom Line
A honey-processed Philippine coffee, deeply sweet-savory and nut-driven with undertones of sweet herbs.
Explore Similar Coffees
Click here for more reviews from Mostra Coffee"
1832,"|Roaster Location:
|Madison, Wisconsin
|Coffee Origin:
|Veracruz, Mexico
|Roast Level:
|Medium-Light
|Agtron:
|58/76
|Est. Price:
|$16.00/12 ounces
|Review Date:
|December 2020
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Cocoa-toned, gently tart. Pomegranate, cocoa powder, almond, narcissus, molasses in aroma and cup. Sweet-tart structure with brisk acidity; satiny mouthfeel. The finish consolidates to notes of cocoa powder and molasses.
Notes
Produced at La Trincheras entirely of the Bourbon and Garnica varieties of Arabica and processed by the washed method. JBC Coffee Roasters’ vision is simple: “let the coffee lead the way” through sourcing and roasting the best and most unique coffees available and rewarding the farmers who grow those coffees with substantial premiums. Visit www.jbccoffeeroasters.com or call 608-256-5282 for more information.
Bottom Line
A solid Mexico cup with organic/fair trade credentials: crisp chocolate balanced by high-toned fruit.
Explore Similar Coffees
Click here for more reviews from JBC Coffee Roasters
Click here for more information about coffees from Mexico"
1833,"Taster's Coffee
Ethiopia Guji Shakisso Mormora Estate Natural
|Roaster Location:
|New Taipei City, Taiwan
|Coffee Origin:
|Guji Zone, Oromia Region, Southern Ethiopia
|Roast Level:
|NA
|Agtron:
|0/0
|Est. Price:
|NT $280/10 capsules
|Review Date:
|October 2021
|Aroma:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso produced as a “ristretto” 25ml (.85-ounce) shot using a Nespresso capsule espresso brewer with whole milk heated using a conventional steam wand. Delicately sweet, citrus-toned. Tangerine zest, cocoa nib, jasmine, almond, cherry blossom in aroma and small cup. Crisp, silky mouthfeel; cocoa-toned, citrusy finish. In three parts milk, cocoa notes move forward while tangerine falls back to a supporting role.
Notes
Southern Ethiopia coffees like this one are largely produced from distinctive indigenous Ethiopian landrace varieties of Arabica long grown in the region. Processed by the natural method (dried in the whole fruit). Taster’s Coffee is a nano-roaster based in New Taipei City, Taiwan. Visit www.tasterscoffee.com for more information.
Bottom Line
An engaging natural-processed Ethiopia in Nespresso-compatible format, especially appealing in the bright, cocoa-toned straight shot.
Explore Similar Coffees
Click here for more reviews from Taster's Coffee
Click here for more information about coffees from Ethiopia"
1834,"|Roaster Location:
|Charlotte, North Carolina
|Coffee Origin:
|Papua New Guinea; Costa Rica
|Roast Level:
|Medium-Light
|Agtron:
|52/72
|Est. Price:
|$16.00/12 ounces
|Review Date:
|November 2021
|Aroma:
|9
|Body:
|8
|Flavor:
|9
|Aftertaste:
|8
|With Milk:
|9
Blind Assessment
Evaluated as espresso. Sweet-toned, chocolaty and floral. Dark chocolate, pomegranate, freesia-like flowers, cedar, caramel in aroma and cup. Satiny-smooth mouthfeel; chocolaty, caramel-toned finish. In three parts milk, dessert-like in its chocolaty sweetness and floral undertones.
Notes
A blend of washed- and natural-processed coffees from Papua New Guinea and Costa Rica. Magnolia Coffee is a Charlotte-based specialty roaster whose mission is to use sustainably sourced coffees to make a difference in the lives of coffee workers and to foster a socially conscious community with cause-supporting coffees. Visit www.magnoliacoffeeco.com for more information.
Bottom Line
A blend of coffees from Papua New Guinea and Costa Rica, roasted for espresso, rich-toned and chocolaty, particularly in cappuccino-scaled milk.
Explore Similar Coffees
Click here for more reviews from Magnolia Coffee"
1835,"El Gran Café
Finca El Pintado
|Roaster Location:
|Antigua, Guatemala
|Coffee Origin:
|Antigua growing region, Guatemala
|Roast Level:
|Medium-Light
|Agtron:
|56/76
|Est. Price:
|$16.50/12 ounces
|Review Date:
|October 2020
|Aroma:
|9
|Acidity/Structure:
|8
|Body:
|9
|Flavor:
|9
|Aftertaste:
|8
Blind Assessment
Crisply sweet, quietly resonant. Wisteria, apricot, pistachio, molasses, oak in aroma and cup. Sweetly tart, savory-edged structure with round acidity; full, syrupy mouthfeel. The persistent finish consolidates to notes of molasses and pistachio.
Notes
Produced at Finca El Pintado from trees of the Bourbon and Geisha varieties of Arabica and processed by the washed method. Certified USDA Organic. El Gran Cafe is a coffee shop located in the heart of Antigua, Guatemala whose mission is to roast and serve organic-certified coffees produced at its own Finca La Esperanza and Finca El Pintado just outside of town. Featured in El Gran Cafe’s lineup are also coffees from friends and neighbors in the region, along with award-winning and exceptional coffees from other regions of Guatemala. Visit https://elgran.cafe/ for more information.
Bottom Line
A complex, rich-toned Guatemala cup with pretty floral and stone fruit notes supported by sweet, pistachio-like nut tones.
Explore Similar Coffees
Click here for more reviews from El Gran Café
Click here for more information about coffees from Guatemala"
